Hybridization REF	TCGA-01-0630-11A-01T-0364-07
Composite Element REF	unc_DWD_Batch_adjusted
DarkCorner	4.803304367
dmr_285	6.771561314
dmr_3	9.428824296
dmr_308	4.634005731
dmr_316	4.681710594
dmr_31a	7.731730819
dmr_6	4.230078757
ebv-miR-BART1-3p	4.640935772
ebv-miR-BART1-5p	4.696028222
ebv-miR-BART10	4.684807217
ebv-miR-BART10*	4.73071541
ebv-miR-BART11-3p	4.648464938
ebv-miR-BART11-5p	4.642822803
ebv-miR-BART12	4.494213008
ebv-miR-BART13	8.530739835
ebv-miR-BART13*	4.570008587
ebv-miR-BART14	4.630529736
ebv-miR-BART14*	4.560799522
ebv-miR-BART15	4.724976875
ebv-miR-BART16	4.909004252
ebv-miR-BART17-3p	4.697404594
ebv-miR-BART17-5p	4.55539275
ebv-miR-BART18-3p	4.656550719
ebv-miR-BART18-5p	4.646950457
ebv-miR-BART19-3p	6.951801654
ebv-miR-BART19-5p	4.576408379
ebv-miR-BART2-3p	4.574648651
ebv-miR-BART2-5p	4.614092152
ebv-miR-BART20-3p	4.581972996
ebv-miR-BART20-5p	4.574864234
ebv-miR-BART3	4.591883681
ebv-miR-BART3*	4.607928059
ebv-miR-BART4	4.658420341
ebv-miR-BART5	4.602460829
ebv-miR-BART6-3p	4.547082061
ebv-miR-BART6-5p	4.59477048
ebv-miR-BART7	5.150282996
ebv-miR-BART7*	4.560428139
ebv-miR-BART8	4.626918637
ebv-miR-BART8*	4.561406155
ebv-miR-BART9	4.596359957
ebv-miR-BART9*	4.570657936
ebv-miR-BHRF1-1	4.737597988
ebv-miR-BHRF1-2	4.573146272
ebv-miR-BHRF1-2*	4.522147571
ebv-miR-BHRF1-3	4.516417916
hcmv-miR-UL112	4.819573371
hcmv-miR-UL148D	4.761867452
hcmv-miR-UL22A	4.623626282
hcmv-miR-UL22A*	4.616521804
hcmv-miR-UL36	4.997013277
hcmv-miR-UL36*	4.610233631
hcmv-miR-UL70-3p	9.524856183
hcmv-miR-UL70-5p	4.532777345
hcmv-miR-US25-1	4.704562902
hcmv-miR-US25-1*	4.583132169
hcmv-miR-US25-2-3p	4.611162309
hcmv-miR-US25-2-5p	4.747995668
hcmv-miR-US33-3p	4.563003915
hcmv-miR-US33-5p	5.057010192
hcmv-miR-US4	6.138214953
hcmv-miR-US5-1	4.676380604
hcmv-miR-US5-2	4.559504872
hiv1-miR-H1	7.701224076
hiv1-miR-N367	4.639612888
hsa-let-7a	12.6452531
hsa-let-7a*	4.687073712
hsa-let-7b	15.22421773
hsa-let-7b*	4.668510032
hsa-let-7c	13.35554878
hsa-let-7c*	4.60437175
hsa-let-7d	8.508474107
hsa-let-7d*	4.786120828
hsa-let-7e	7.497720656
hsa-let-7e*	4.90826986
hsa-let-7f	10.74238711
hsa-let-7f-1*	4.688818844
hsa-let-7f-2*	4.634369743
hsa-let-7g	9.570187133
hsa-let-7g*	4.710891161
hsa-let-7i	11.58954423
hsa-let-7i*	4.705444361
hsa-miR-1	5.763224662
hsa-miR-100	12.93725552
hsa-miR-100*	4.771754963
hsa-miR-101	10.42125743
hsa-miR-101*	5.968583882
hsa-miR-103	10.00654344
hsa-miR-105	4.580167495
hsa-miR-105*	4.636749067
hsa-miR-106a	6.354850668
hsa-miR-106a*	4.601308418
hsa-miR-106b	9.585656251
hsa-miR-106b*	4.74313143
hsa-miR-107	8.533332171
hsa-miR-10a	8.914633562
hsa-miR-10a*	4.882605239
hsa-miR-10b	9.999967015
hsa-miR-10b*	5.448259268
hsa-miR-122	4.609727126
hsa-miR-122*	4.631199189
hsa-miR-1224-3p	4.692483403
hsa-miR-1224-5p	9.076993317
hsa-miR-1225-3p	5.840482477
hsa-miR-1225-5p	12.96340985
hsa-miR-1226	4.686325142
hsa-miR-1226*	7.107250296
hsa-miR-1227	4.656760665
hsa-miR-1228	6.291539528
hsa-miR-1228*	4.915311341
hsa-miR-1229	5.140258861
hsa-miR-1231	4.545895044
hsa-miR-1233	4.552968697
hsa-miR-1234	5.703435528
hsa-miR-1236	4.716891821
hsa-miR-1237	5.208309627
hsa-miR-1238	5.267949387
hsa-miR-124	4.848733746
hsa-miR-124*	4.556090942
hsa-miR-125a-3p	8.687433116
hsa-miR-125a-5p	7.969103845
hsa-miR-125b	13.62955611
hsa-miR-125b-1*	4.98010755
hsa-miR-125b-2*	7.380028293
hsa-miR-126	10.13465868
hsa-miR-126*	4.85487077
hsa-miR-127-3p	8.512012352
hsa-miR-127-5p	4.877057686
hsa-miR-128	5.298848737
hsa-miR-129-3p	5.416598201
hsa-miR-129-5p	5.515898756
hsa-miR-129*	4.857976554
hsa-miR-130a	10.87556752
hsa-miR-130a*	4.686216525
hsa-miR-130b	10.00424605
hsa-miR-130b*	4.641143452
hsa-miR-132	7.295284777
hsa-miR-132*	4.720988161
hsa-miR-133a	6.957682534
hsa-miR-133b	9.312071307
hsa-miR-134	9.919423574
hsa-miR-135a	3.734846439
hsa-miR-135a*	6.737188044
hsa-miR-135b	4.046270382
hsa-miR-135b*	4.55144739
hsa-miR-136	8.703229542
hsa-miR-136*	5.596109912
hsa-miR-137	4.654125611
hsa-miR-138	4.871694401
hsa-miR-138-1*	4.635193723
hsa-miR-138-2*	4.785971815
hsa-miR-139-3p	6.056133361
hsa-miR-139-5p	7.591638639
hsa-miR-140-3p	11.94172794
hsa-miR-140-5p	7.38455518
hsa-miR-141	14.55531653
hsa-miR-141*	4.163355559
hsa-miR-142-3p	6.257237085
hsa-miR-142-5p	8.627237497
hsa-miR-143	9.863301159
hsa-miR-143*	8.94861973
hsa-miR-144	12.14261047
hsa-miR-144*	4.776279449
hsa-miR-145	14.72385746
hsa-miR-145*	7.611652833
hsa-miR-146a	5.425452137
hsa-miR-146a*	4.605822609
hsa-miR-146b-3p	4.55780594
hsa-miR-146b-5p	6.004032346
hsa-miR-147	4.623090932
hsa-miR-147b	4.583347945
hsa-miR-148a	9.037353505
hsa-miR-148a*	4.961384011
hsa-miR-148b	6.098171587
